Date,LQD US Equity  (L1),EMB US Equity  (L1),MUB US Equity  (L1),TIP US Equity  (L1),SHY US Equity  (R1),HYG US Equity  (L1)
8/6/2018,51.792,57.4221,34.2451,26.8954,6.1196,64.8865
8/3/2018,51.6476,57.6842,34.2081,26.8727,6.094,64.5801
8/2/2018,51.1749,57.3348,34.1464,26.6221,6.0813,64.4461
8/1/2018,50.9911,57.4658,34.0106,26.5537,6.0174,64.3503
7/31/2018,51.5244,58.1311,34.2209,26.8625,6.0071,64.2039
7/30/2018,51.0532,58.4211,34.147,26.6697,6.0071,63.8607
7/27/2018,51.2626,58.8706,34.2456,26.7377,6.0071,63.8035
7/26/2018,51.0663,58.5951,34.2825,26.5449,5.9944,63.8607
7/25/2018,50.9223,58.4646,34.2702,26.6697,5.9944,63.8416
7/24/2018,50.7259,57.0581,34.2332,26.647,6.0326,63.5365
7/23/2018,50.2547,57.2031,34.3071,26.5789,6.0199,63.1933
7/20/2018,50.8568,57.4061,34.5412,27.1801,6.0836,63.2505
7/19/2018,51.3019,57.5511,34.7506,27.4864,6.0836,63.1743
7/18/2018,51.0663,57.5801,34.5904,27.3049,6.0326,63.2505
7/17/2018,51.0924,57.7251,34.5165,27.5091,6.039,63.1743
7/16/2018,51.1971,57.7396,34.4919,27.6792,6.0581,63.1171
7/13/2018,51.4459,58.1456,34.5781,28.0195,6.0836,63.2315
7/12/2018,51.328,57.3336,34.455,27.77,6.0581,63.2315
7/11/2018,51.0008,57.0291,34.4303,27.872,6.0708,62.7167
7/10/2018,50.6997,57.6816,34.2332,27.7359,6.0326,62.9645
7/9/2018,50.8699,57.4061,34.1717,27.9288,6.0454,62.9455
7/6/2018,50.7652,56.9711,34.2579,28.1897,6.1091,62.6976
7/5/2018,50.5558,55.6372,34.1717,28.0082,6.0836,62.2781
7/3/2018,50.0845,54.6512,34.2579,27.8607,6.0963,61.668
7/2/2018,49.5348,54.1582,33.9746,27.5885,6.0581,61.6489
6/29/2018,49.5147,54.1641,34.0205,27.5422,6.071,61.4951
